12/29/2008,1,12
12/30/2008,2,12
12/31/2008,3,12
1/2/2009,4,13
1/5/2009,5,14
1/6/2009,6,13
1/7/2009,7,13
1/8/2009,8,13
1/9/2009,9,13
1/12/2009,10,13
1/13/2009,11,13
1/14/2009,12,12
1/15/2009,13,12
1/16/2009,14,12
1/20/2009,15,11
1/21/2009,16,12
1/22/2009,17,13
1/23/2009,18,13
1/26/2009,19,13
1/27/2009,20,13
1/28/2009,21,13
1/29/2009,22,13
1/30/2009,23,13
2/2/2009,24,13
2/3/2009,25,13
2/4/2009,26,13
2/5/2009,27,14
2/6/2009,28,14
2/9/2009,29,15
2/10/2009,30,14
2/11/2009,31,14
2/12/2009,32,14
2/13/2009,33,14
2/17/2009,34,14
2/18/2009,35,13
2/19/2009,36,13
2/20/2009,37,13
2/23/2009,38,12
2/24/2009,39,13
2/25/2009,40,13
2/26/2009,41,13
2/27/2009,42,13
3/2/2009,43,13
3/3/2009,44,13
3/4/2009,45,13
3/5/2009,46,13
3/6/2009,47,12
3/9/2009,48,12
3/10/2009,49,13
3/11/2009,50,13
3/12/2009,51,14
3/13/2009,52,14
3/16/2009,53,14
3/17/2009,54,14
3/18/2009,55,15
3/19/2009,56,15
3/20/2009,57,15
3/23/2009,58,15
3/24/2009,59,15
3/25/2009,60,15
3/26/2009,61,16
3/27/2009,62,15
3/30/2009,63,15
3/31/2009,64,15
4/1/2009,65,16
4/2/2009,66,16
4/3/2009,67,17
4/6/2009,68,17
4/7/2009,69,16
4/8/2009,70,17
4/9/2009,71,17
4/13/2009,72,17
4/14/2009,73,17
4/15/2009,74,17
4/16/2009,75,17
4/17/2009,76,18
4/20/2009,77,17
4/21/2009,78,17
4/22/2009,79,17
4/23/2009,80,18
4/24/2009,81,18
4/27/2009,82,18
4/28/2009,83,18
4/29/2009,84,18
4/30/2009,85,18
5/1/2009,86,18
5/4/2009,87,19
5/5/2009,88,19
5/6/2009,89,19
5/7/2009,90,18
5/8/2009,91,18
5/11/2009,92,19
5/12/2009,93,18
5/13/2009,94,17
5/14/2009,95,18
5/15/2009,96,17
5/18/2009,97,18
5/19/2009,98,18
5/20/2009,99,18
5/21/2009,100,18
5/22/2009,101,18
5/26/2009,102,19
5/27/2009,103,19
5/28/2009,104,19
5/29/2009,105,19
6/1/2009,106,20
6/2/2009,107,20
6/3/2009,108,20
6/4/2009,109,21
6/5/2009,110,21
6/8/2009,111,21
6/9/2009,112,20
6/10/2009,113,20
6/11/2009,114,20
6/12/2009,115,20
6/15/2009,116,19
6/16/2009,117,19
6/17/2009,118,19
